id,Compound,Number of layers,Space group,Struct. type,DJorRP,LSF t1,LSF t2,"Eg (calc.), eV","Optical Eg (exp.), eV",Spacer (interlayer) cation,Intralayer cation,M-X-M angles distribution,M-X bonds in octahedra,CIF,Reference,
50,[NH3(CH2)8NH3][CH3NH3]Pb2I7,2,Cc,100,RP,0.5,0.5,1.94,2.02,"1,8-octanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
51,[NH3(CH2)8NH3][CH3NH3]2Pb3I10,3,Pc,100,RP,0.5,0.5,1.88,1.83,"1,8-octanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
52,[NH3(CH2)8NH3][CH3NH3]3Pb4I14,4,Cc,100,RP,0.5,0.5,1.82,1.7,"1,8-octanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
53,[NH3(CH2)9NH3]PbI4,1,Cc,100,else,0.42,0.42,2.29,2.27,"1,9-nonanediammonium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
54,[NH3(CH2)9NH3][CH3NH3]Pb2I7,2,Cc,100,RP,0.5,0.5,1.92,1.96,"1,9-nonanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
55,[NH3(CH)9NH3][CH3NH3]2Pb3I10,3,Pc,100,RP,0.5,0.5,1.87,1.81,"1,9-nonanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
56,[CH3(CH2)3NH3]2PbBr4,1,Pbca,100,RP,0.49,0.5,2.82,3.07,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c7sc01590a
57,[CH3(CH2)3NH3]2SnI4,1,Pbca,100,RP,0.49,0.5,1.77,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
58,[NH3(CH2)2NH2CH3]PbBr4,None,P212121,110,else,0.19,0.47,2.85,3.12,"N1-methylethane-1,2-diammonium",None,*.dia,*.dia,CIF,doi:,10.1021/ja411045r
59,[NH3(CH2)3NH2CH3]PbBr4,1,P21/c,100,else,0.03,0.45,2.55,2.88,"N1-methylpropane-1,3-diammonium",None,*.dia,*.dia,CIF,doi:,10.1021/ja411045r
60,[(CH3)2NH(CH2)2NH3]PbBr4,None,Pbca,corru-gated3x3,else,0.03,0.1,2.62,None,2-(dimethylamino)ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b01312
61,[C(NH2)3][CH3NH3]3Pb3I10,3,Imma,100,else,0,0.49,1.83,1.56,Guanidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b09096
62,[C(NH2)3][CH3NH3]2Pb2I7,2,Amma,100,else,0,0.49,1.91,1.79,Guanidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b09096
63,[C(NH2)3][CH3NH3]PbI4,1,Imma,100,else,0,0.48,2.04,None,"Guanidinium,Methylammonium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b09096
64,[C(NH2)3][CH(NH2)2]PbI4,None,C2/m,corru-gated3x2,else,0,0.1,2.11,2.32,"Guanidinium,Formamidinium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00194
65,[NH3(CH2)2SS(CH2)2NH3]4Pb3I14*I2,None,P21/c,None,DJ,0,0,2.16,None,"2,2'-dithiobisethanammonium",None,*.dia,*.dia,CIF,doi:,10.1039/b617225c
66,[NH3(CH2)2O(CH2)2O(CH2)2NH3]PbCl4,1,C2,100,else,0.37,0.38,3.38,3.34,"1,8-Diamino-3,6-dioxaoctane",None,*.dia,*.dia,CIF,doi:,10.1021/ja507086b
67,[NH3(CH2)2O(CH2)2O(CH2)2NH3]PbBr4,1,P21/c,110,else,0,0.28,2.82,3.21,"1,8-Diamino-3,6-dioxaoctane",None,*.dia,*.dia,CIF,doi:,10.1021/ja507086b
68,[NH3(CH2)2O(CH2)2O(CH2)2NH3]PbI4,1,P21/c,110,else,0.04,0.28,2.26,2.48,"1,8-Diamino-3,6-dioxaoctane",None,*.dia,*.dia,CIF,doi:,10.1021/ja507086b
69,[NH3(CH2)2SC(NH2)NH3]PbBr4,1,P21/c,100,DJ,0,0.02,2.74,3.44,2-(aminoethyl)isothiourea protonated,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.200700927
70,[CHC(CH2)2NH3]2PbBr4,1,P21/c,100,else,0.09,0.1,2.88,None,4-amino-1-butyne protonated,None,*.dia,*.dia,CIF,doi:,10.1002/anie.201309786
71,[ICHC(I)(CH2)2NH3]2PbBr4,1,P-1,100,else,0.11,0.24,2.79,None,"4-amino-1,2-diiodo-1-butene protonated",None,*.dia,*.dia,CIF,doi:,10.1002/anie.201309786
72,[CH2CH(CH2)2NH3]2PbBr4,1,P21/c,100,else,0.18,0.18,2.77,None,4-aminobutylene protonated,None,*.dia,*.dia,CIF,doi:,10.1002/anie.201309786
73,[F(CH2)2NH3]2PbCl4,1,Pnma,100,else,0.25,0.29,3.34,3.27,2-fluoroethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b02151
74,[(CH3)2CHCH2NH3]2[PbBr4],1,P21/c,100,None,None,None,2.83,None,Isobutylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c5dt03277f
75,[(CH3)2CHCH2NH3]2[PbBr4],1,Cmca,100,RP,0.5,0.5,2.84,None,Isobutylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c5dt03277f
76,[HO(CH2)2NH3]2PbI4,1,P21/c,100,else,0.21,0.21,2.16,None,Ethanolammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
77,[HO(CH2)3NH3]2PbI4,1,P21/c,100,else,0.06,0.06,2.14,None,3-aminopropanol protonated,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
78,[I(CH2)2NH3]2PbI4,1,P21/c,100,else,0.2,0.2,2.37,None,2-iodoethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
79,[I(CH2)3NH3]2PbI4,1,P21/c,100,else,0.25,0.27,2.29,None,3-iodopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
80,[I(CH2)4NH3]2PbI4,1,P21/c,100,else,0.06,0.06,2.28,None,4-iodobutylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
81,[I(CH2)5NH3]2PbI4,1,P21/c,100,DJ,0,0,2.22,None,5-iodopentylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
82,[I(CH2)6NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.22,None,6-iodohexylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
83,[Br(CH2)2NH3]2PbI4,1,Pnma,100,else,0.12,0.43,2.13,None,2-bromoethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
84,[NH3(CH2)2SS(CH2)2NH3]2Pb2I8,1,P21/c,100,else,0.02,0.3,2.32,None,"2,2'-dithiobisethanammonium",None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
85,[NH3(CH2)2SS(CH2)2NH3]2PbI4*I2,None,P21/c,None,DJ,0,0,2.17,None,"2,2'-dithiobisethanammonium",None,*.dia,*.dia,CIF,doi:,10.1039/b917824d
86,[C3H5NH3]2PbI4,1,P21/c,100,RP,0.49,0.5,2.31,None,小yclopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
87,[C3H5NH3]2PbBr4,1,P21/c,100,else,0.46,0.49,2.85,None,小yclopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
88,[C4H7NH3]2PbBr4,1,P21/c,100,else,0.46,0.49,2.87,None,Cyclobutylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
89,[C5H9NH3]2PbBr4,1,P21/c,100,else,0.42,0.47,2.78,None,Cyclopentylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
90,[C6H11NH3]2PbBr4,1,Cmc21,100,else,0.46,0.47,2.91,None,Cyclohexylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
91,[C7H13NH3]3PbBr5*H2O,None,Cmc21,None,DJ,0,0,2.86,None,Cycloheptylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
92,[C8H15N3]10Pb4Br18,None,P-1,None,DJ,0,0,2.8,None,Cyclooctylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
93,[C3H5NH3]2PbCl4,1,P21/c,100,else,0.46,0.49,3.37,None,小yclopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
94,[C4H7NH3]2PbCl4,1,P21/c,100,else,0.44,0.47,3.42,None,Cyclobutylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
95,[C5H9NH3]2PbCl4,1,Cmca,100,else,0.45,0.5,3.36,None,Cyclopentylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
96,[C6H11NH3]4Pb2Cl8,1,P21/m,100,else,0.31,0.33,3.41,None,Cyclohexylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
97,[C7H13NH3]17Pb7Cl31*2H2O,None,P21,None,DJ,0,0,3.37,None,Cycloheptylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
98,[C8H15NH3]18Pb11Cl40,None,P-1,None,else,0.01,0.04,3.33,None,Cyclooctylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b819455f
99,[C6H10CH2NH3]2PbBr4,1,P21/c,100,else,0.33,0.33,2.82,None,Cyclohexylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601269
100,[NH2(C2H4)2NH2]PbCl4,1,P21/c,110,else,0.07,0.35,2.64,None,Piperazinium,None,*.dia,*.dia,CIF,doi:,10.1021/ic000319k
101,[NH2(C2H4)2NH小H2C6H5]3Pb2Br10*2H2O,None,P21/c,None,DJ,0,0,2.72,None,N-Benzylpiperazinium,None,*.dia,*.dia,CIF,doi:,10.1021/ic000319k
102,[C5H11NCH2NH3]PbI4,1,P21/c,100,else,0.19,0.21,2.15,2.23,3-(aminomethyl)piperidinium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
103,[C5H11NCH2NH3][CH3NH3]Pb2I7,2,Cc,100,DJ,0,0,2.01,2.02,3-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
104,[C5H11NCH2NH3][CH3NH3]2Pb3I10,3,Pc,100,DJ,0,0,1.94,1.92,3-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
105,[C5H11NCH2NH3][CH3NH3]3Pb4I13,4,Cc,100,DJ,0,0,1.9,1.87,3-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
106,[C5H11NCH2NH3]PbI4,1,Pc,100,DJ,0,0,2.18,2.38,4-(aminomethyl)piperidinium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
107,[C5H11NCH2NH3][CH3NH3]Pb2I7,2,Cc,100,DJ,0,0,2.02,2.17,4-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
108,[C5H11NCH2NH3][CH3NH3]2Pb3I10,3,P1,100,DJ,0,0,1.97,1.99,4-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
109,[C5H11NCH2NH3][CH3NH3]3Pb4I13,4,Cc,100,DJ,0,0,1.91,1.89,4-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b00542
110,[(C6H11)PH3]2SnI4,1,Pbca,100,RP,0.48,0.5,None,None,Cyclohexylphosphonium,None,*.dia,*.dia,CIF,doi:,10.1039/b917722a
111,[NH3CH2C6H10CH2NH3]PbI4,1,P21/c,100,else,0.14,0.14,2.31,None,"4,4'-bipyridine",None,*.dia,*.dia,CIF,doi:,10.1107/S160053681001682X
112,[C6H5CH2NH3]PbCl4,1,Cmc21,100,else,0.46,0.48,3.52,3.65,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
113,[C6H5CH2NH3]PbCl4,1,Cmc21,100,else,0.46,0.48,3.52,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
114,[C6H5CH2NH3]PbCl4,1,Cmc21,100,else,0.47,0.48,3.51,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
115,[C6H5CH2NH3]PbCl4,1,Cmc21,100,else,0.45,0.47,3.53,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
116,[C6H5CH2NH3]PbCl4,1,Cmc21,100,else,0.47,0.48,3.48,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
117,[C6H5CH2NH3]PbCl4,1,Cmca,100,RP,0.49,0.5,3.43,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
118,[C6H5CH2NH3]PbCl4,1,Cmc21,100,else,0.45,0.47,3.52,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
119,[C6H5CH2NH3]PbBr4,1,Cmca,100,RP,0.5,0.5,2.88,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
120,[C6H5CH2NH3]PbBr4,1,Cmca,100,RP,0.5,0.5,2.87,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
121,[C6H5CH2NH3]PbBr4,1,Cmca,100,RP,0.5,0.5,2.88,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
122,[C6H5CH2NH3]PbBr4,1,Cmca,100,RP,0.5,0.5,2.88,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/ncomms8338
123,[C6H5CH2NH3]2PbCl4,1,Cmc21,100,else,0.46,0.48,3.01,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b204766g
124,[C6H5CH2NH3]2PbI4,1,Pbca,100,else,0.47,0.5,2.28,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00809
125,[C6H5(CH2)3NH3]3Pb2I7,None,Pca21,corru-gated3x2,else,0.02,0.04,2.31,None,Phenylpropylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00809
126,[C6H5(CH2)4NH3]3Pb2I7,None,P-1,None,else,0.06,0.11,2.29,None,Phenylbutylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00809
127,[C4H3S(CH2)2NH3]2PbI4,1,Cc,100,else,0.04,0.49,2.25,2.26,2-(2-thienyl)ethanaminium,None,*.dia,*.dia,CIF,doi:,10.1016/j.solidstatesciences.2016.08.014
128,[C3H4N2(CH2)2NH3]PbI4,1,P21/c,100,else,0.09,0.41,2.04,2.05,Histammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b03054
129,[C3H4N2(CH2)2NH3]SnI4,1,P21/c,100,else,0.18,0.39,2.04,1.67,Histammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b03054
130,[C6H5CH2NH3]2PbI4,1,Pbca,100,else,0.47,0.5,2.27,2.18,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b03054
131,[C6H5CH2NH3]2SnI4,1,Pbca,100,RP,0.48,0.5,2.03,1.85,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b03054
132,[C4H3SCH2NH3]2[CH3NH3]Pb2I7,2,Aba2,100,RP,0.5,0.5,2.39,2.21,2-(2-thienyl)methylaminium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1039/b205543k
133,[C4H3SCH2NH3]2PbI4,1,Pbca,100,RP,0.49,0.5,2.2,2.41,2-(2-thienyl)methylaminium,None,*.dia,*.dia,CIF,doi:,10.1039/b205543k
134,[C5H11NCH2NH3]PbBr4,None,P21/c,None,else,0.01,0.16,2.76,None,4-(aminomethyl)piperidinium,None,*.dia,*.dia,CIF,doi:,10.1016/j.solidstatesciences.2007.06.011
135,[C5H11NCH2NH3]PbBr4,None,Pbca,None,None,None,None,2.77,2.67,3-(aminomethyl)piperidinium,None,*.dia,*.dia,CIF,doi:,10.1016/j.solidstatesciences.2007.06.011
136,[C5H11NCH2NH3]PbBr4,1,Pbca,100,else,0.24,0.26,2.68,2.63,2-(aminomethyl)piperidinium,None,*.dia,*.dia,CIF,doi:,10.1016/j.solidstatesciences.2007.06.011
137,[BrC6H4(CH2)2NH3]2SnI4,1,P21/c,100,else,0.11,0.12,2.26,2.09,2-bromophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic0261474
138,[(CH3)2NHC6H4NH3]PbCl4,1,P21/c,100,else,0.26,0.31,3.39,None,"N,N-Dimethylbenzene-1,4-diammonium",None,*.dia,*.dia,CIF,doi:,10.1039/b713261a
139,[NH3C6H4NH3]PbCl4,1,P2/c,100,else,0.09,0.1,3.37,None,m-phenylenediammonium,None,*.dia,*.dia,CIF,doi:,10.1039/b713261a
140,[(CH3)2NHC6H4NH3]PbBr4,1,P21/c,100,else,0.2,0.25,2.77,2.99,"N,N-Dimethylbenzene-1,4-diammonium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b02285
141,[NH2C(NH2)C5H4NH]PbBr4,1,C2/c,None,else,0.39,0.45,2.65,2.66,3-amidinopyridinium,None,*.dia,*.dia,CIF,doi:,10.1021/cg800047p
142,[NH2C(NH2)C5H4NH]PbBr4,None,Pbca,100,else,0.21,0.21,2.74,2.66,4-amidinopyridinium,None,*.dia,*.dia,CIF,doi:,10.1021/cg800047p
143,[C6H5CH2NH3]2PbBr4,1,Cmc21,100,RP,0.5,0.5,2.91,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01094
144,[C6H5(CH2)2NH3]2PbI4,1,P-1,100,else,0.14,0.5,2.06,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01094
145,[C10H7CH2NH3]2PbBr4,1,Cmc21,100,else,0.47,0.5,2.94,None,1-(2-naphthyl)-methanammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01094
146,[C10H7(CH2)2NH3]2PbI44,1,Pc,100,else,0.29,0.37,2.15,None,2-(2-naphthyl)-ethanammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01094
147,[C10H7(CH2)2NH3]2PbBr4,1,P1,100,else,0.27,0.5,2.71,None,2-(2-naphthyl)-ethanammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01094
148,[C7H7N2]2PbI4,1,C2/c,100,else,0.19,0.39,2.22,None,Benzimidazolium,None,*.dia,*.dia,CIF,doi:,10.1002/zaac.201600371
149,[C7H7N2]2PbCl4,1,C2/c,100,else,0.11,0.25,3.22,3.08,Benzimidazolium,None,*.dia,*.dia,CIF,doi:,10.1002/zaac.201600372
150,[C7H7N2]PbI3,None,P212121,None,DJ,0,0,2.27,2.44,Benzimidazolium,None,*.dia,*.dia,CIF,doi:,10.1002/zaac.201600373
151,[C7H7N2]2PbBr4,1,C2/c,100,else,0.15,0.28,2.67,2.6,Benzimidazolium,None,*.dia,*.dia,CIF,doi:,10.1002/zaac.201600373
152,[小10H70O(CH2)2NH3]2PbI4,1,Cc,100,else,0.41,0.43,2.32,2.39,Naphthalene-O-ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03659
153,[小10H70O(CH2)3NH3]2PbI4,1,P21/c,100,else,0.24,0.26,2.42,2.57,Naphthalene-O-propylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03659
154,[小10H70O(CH2)3NH3]2PbI4*0.5(C4H6O2),1,P-1,100,else,0.08,0.24,2.26,2.35,Naphthalene-O-ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03659
155,[小16H9O(CH2)2NH3]2PbI4,1,Cc,100,else,0.41,0.42,2.32,2.38,Pyrene-O-ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03659
156,[小16H9O(CH2)3NH3]2PbI4,1,Cc,100,else,0.2,0.27,2.35,2.27,Pyrene-O-propylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03659
157,[小16H9O(CH2)4NH3]2PbI4,1,C2/c,100,else,0.02,0.5,2.27,2.4,Pyrene-O-butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03659
158,[小20H11O(CH2)2NH3]2PbI4,1,P21/c,100,else,0.22,0.23,2.35,2.41,Perylene-O-ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b03665
159,[NH3(CH2)2S(C4H3S)2S(CH2)2NH3]PbI4,1,P-1,100,else,0.22,0.34,2.3,2.51,"5-ammoniumethylsulfanyl-2,2'-bithiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic034235y
160,[(C4H3S)2S(CH2)2NH3]4Pb3I10,None,Pna21,None,DJ,0.01,0.02,2.31,2.6,"5,5'-bis(ammoniumethylsulfanyl)-2,2'-bithiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic034235y
161,[(C4H3S)2S(CH2)2NH3]4Bi2I9,None,P212121,None,None,None,None,2.22,2.18,"5,5'-bis(ammoniumethylsulfanyl)-2,2'-bithiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic034235y
162,[FC6H5CH2NH3]2PbI4,1,P21/c,100,else,0.12,0.28,2.25,2.33,4-fluorophenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01564
163,[C3H3N2(CH2)3NH3]PbBr4,1,P21/c,110,else,0,0.14,2.82,2.9,N-(3-aminopropyl)imidazole,None,*.dia,*.dia,CIF,doi:,10.1021/cm060714u
164,[C7H7N2]2SnI4,1,C2/c,100,else,0.2,0.39,2.01,None,Benzimidazolium,None,*.dia,*.dia,CIF,doi:,10.1107/S1600536814019151
165,[ClC6H5CH2NH3]2PbI4,1,P21,100,else,0.19,0.19,2.31,2.33,4-chlorophenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01564
166,[C3H5N2]SnI3,None,Pc,None,None,None,None,2.24,2.2,Imidazolium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b02764
167,[C6H5(CH2)2NH3]2PbBr4,1,P-1,100,else,0.16,0.47,2.83,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S160053680903712X
168,[C(NH2)3]PbI3,None,Pnma,None,DJ,0,0,2.79,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/chem.201804066
169,[C5H11NCH2NH3][CH3NH3]6Pb7I22,7,Pc,100,DJ,0,0,1.9,1.53,4-(aminomethyl)piperidinium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1016/j.chempr.2019.07.024
170,[CH3(CH2)3NH3]2[CH3NH3]5Pb6I19,6,Ama2,100,RP,0.49,0.5,1.83,1.59,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1073/pnas.1811006115
171,[CH3(CH2)3NH3]2[CH3NH3]6Pb7I22,7,Aba2,100,RP,0.48,0.48,2.07,1.57,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1073/pnas.1811006115
172,[FC6H4(CH2)2NH3]2PbI4,1,P-1,100,else,0.02,0.5,2.15,None,2-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/s41467-019-08980-x
173,[FC6H4(CH2)2NH3]2PbI4,1,C2/c,100,else,0.32,0.48,2.13,None,3-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/s41467-019-08980-x
174,[FC6H4(CH2)2NH3]2[CH3NH3]Pb2I7,2,C2/c,100,else,0.29,0.3,2.12,None,4-fluorophenylethylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b01336
175,[BrC6H5CH2NH3]2PbI4,1,P21,100,else,0.16,0.17,2.33,2.28,4-bromophenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01564
176,[IC6H5CH2NH3]2PbI4,1,P21/c,100,else,0.44,0.45,2.22,2.29,4-iodophenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01564
177,[C(NH2)3]PbI3,None,P63/mmc,None,None,None,2.01,None,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/chem.201804066
178,[C(NH2)3]3PbI5,None,Cmc21,None,else,0,0.04,2.18,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/chem.201804066
179,[C(NH2)3]3PbI5,None,P-4m2,None,else,0,0.46,2.2,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/chem.201804066
180,[C(NH2)3]4PbI6,None,P2/c,None,None,None,None,2.14,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/chem.201804066
181,[C(NH2)3]2PbBr4,None,P-1,None,DJ,0,0,2.67,3.62,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01204
182,Cs2[C(NH2)3]Pb2Br7,2,Cmmm,100,None,None,None,2.54,2.58,"Guanidinium,Caesium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01204
183,Cs[C(NH2)3]PbBr4,1,Imma,100,None,None,None,2.56,2.65,"Guanidinium,Caesium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01204
184,Cs[C(NH2)3]PbI4,1,Pnnm,100,None,None,None,2.16,2.14,"Guanidinium,Caesium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01204
185,Cs[C(NH2)3]PbI4,1,Pnnm,100,None,None,None,2.13,2.14,"Guanidinium,Caesium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01204
186,CsPb2Br5,None,I4/mcm,not prvsk,None,None,None,2.4,3.44,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.7b01204
187,[FC6H4(CH2)2NH3]2PbI4,1,P21/c,100,else,0.29,0.3,2.34,None,4-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/s41467-019-08980-x
188,[FC6H4(CH2)2NH3]2PbI4,1,P1,100,else,0.02,0.5,2.11,None,2-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/s41467-019-08980-x
189,[FC6H4(CH2)2NH3]2PbI4,1,P1,100,else,0.32,0.48,2.11,None,3-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1038/s41467-019-08980-x
190,[FC6H4(CH2)2NH3]2[CH3NH3]2Pb3I10,3,P21/c,100,else,0.28,0.29,2.03,None,4-fluorophenylethylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b01336
191,[FC6H4(CH2)2NH3]2[CH3NH32]2Pb3I10,3,P21/c,100,else,0.26,0.27,1.98,None,4-fluorophenylethylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b01336
192,[FC6H4(CH2)2NH3]2PbI4,1,P21/c,100,else,0.31,0.32,2.28,None,4-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b01336
